id_tweet,userid,screen_name,created_at,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
__1474714656329678852,793586530593992710,tepupita,2021-12-25T12:12:27.000Z,"Home alone dos veces no 😂, die hard 
o como dicen aquí juuuuingla de cristal",0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,3,5,1,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,4,4,4,6,2,1,1,2,0,0,1,0,0,0,2,4.666666666666667,6
__1474740101896884231,793586530593992710,tepupita,2021-12-25T13:53:34.000Z,"Verga o sea que mejor 25 que literal estar en una cabaña con frío,
 comiendo, bebiendo vino y viendo películas de niños",0,0,0,0,1,3,0,0,2,0,1,1,0,0,1,0,1,0,0,0,7,7,4,2,3,3,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,4.409090909090909,5,4.5,0,0,2,2,1,0,0,1,0,0,0,1,7,11
__1462882344407289869,222822744,Geo_birrero87,2021-11-22T20:35:04.000Z,"Vieja escuela, amargor suavecito pero persistente. 
Entrada con punto dulce. Nada mal - Drinking a Burnout Syndrome
 by Hecatombe Brewing Co./@cervezasrioazul
 @ La Linterna Ciega  — https://t.co/o8OiXpvZgB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,6,1,3,4,3,3,2,1,0,0,1,0,0,0,1,0,0,0,0,,0,0,1,6.730769230769231,8,6.5,6,1,0,6,4,1,1,4,0,0,0,4,5.2727272727272725,11
__1462893655585431555,222822744,Geo_birrero87,2021-11-22T21:20:01.000Z,"Menuda montaña rusa. Me parece (o me encantaría que lo fuera) 
una Black IPA cafetosa con un toque salino en nariz. Cada trago es mejor. 
Birrote - Drinking an India Double Porter Mosaic Sabro by 
@kernelbrewery @ La Linterna Ciega  — https://t.co/tQc5f6R0HI",1,2,0,1,0,0,3,1,2,1,1,3,0,0,0,0,2,0,0,6,8,14,8,0,4,4,6,6,2,3,1,0,3,0,3,0,0,0,0,0,0,,0,0,1,5.170731707317073,2,5,9,1,1,6,5,1,3,5,0,1,0,4,6.25,12
__1473272135900667904,479267947,roxanagrupovip,2021-12-21T12:40:23.000Z,💃🏻💃🏻💃🏻 en Del Barrio Taberna Madrileña https://t.co/IalpigDqsn,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,6,0,1,8.333333333333334,2,6.5,1,1,0,0,0,0,0,0,0,0,0,0,5.5,2
__1473437640112357377,479267947,roxanagrupovip,2021-12-21T23:38:03.000Z,"Navidad 🎄 en Madrid, Spain https://t.co/tIsPzehqOt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,8.8,7,7,1,1,0,1,0,0,0,0,0,0,0,0,3,2
__1473745519281328134,479267947,roxanagrupovip,2021-12-22T20:01:27.000Z,Comienza el año de la mejor forma 💪🏾💪🏾🎄🎄🎄info. Reservas Roxana Díaz en LAB Madrid https://t.co/dVMjzfSTnW,0,1,0,0,0,0,1,0,2,1,1,2,0,2,0,0,0,0,0,4,3,7,2,1,1,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,7,0,1,5.6,2,5,2,1,1,1,1,0,0,1,0,1,0,0,5.8,5
__1463247081594830855,512210134,BeaSC87,2021-11-23T20:44:24.000Z,¡Qué bien nos lo pasamos siempre! 😜🔝 #NoTeLoPierdas,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,,2,1,0,6,4,4,0,0,1,2,0,0,0,0,0,0,0,0,4.5,2
__1463992821510287360,512210134,BeaSC87,2021-11-25T22:07:42.000Z,Siempre fiera 🐯 #streetart #graffiti #tiger #lovefelino #staywild en Ciudad Real https://t.co/iU8WRSCdi2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,1,8.363636363636363,9,7,0,0,0,0,1,0,1,1,0,0,0,1,4,2
__1464601330899685378,1007728560906358787,GongoraSep,2021-11-27T14:25:42.000Z,"#aguasdejazz madrugada del lunes al martes 00:00 y viernes a las
 17:00 #rtvbsngongora en📻 https://t.co/HuWWNxUJ2C y 
📺 https://t.co/YdiH53cFZ5 en Córdoba, Spain https://t.co/XSRYmCopl6",0,0,0,0,0,0,0,0,5,2,1,2,1,3,2,0,0,0,0,2,4,6,1,0,0,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,3,7.619047619047619,5,5,2,2,1,3,0,0,0,0,0,0,0,0,3.2857142857142856,7
