_id,screen_name,text
1397634873343479810,Acostajoche,"Porque hay estrellas que brillan pero no se ven...
#buendia #FelizMiércoles en Puerto Sherry, El Puerto de Santa María https://t.co/ejDOB1FWOR"
1397635015282933770,Tonino_conesa,"Mi primera polla, quién prueba repite !!! 
🌈🌈🌈 en La Pollería Chueca https://t.co/WjdUi6z3Rq"
1397635167615860743,Pedroclamavi,Urban art. en Auditorio Alfredo Kraus https://t.co/A9jh7PZ480
1397635198913859590,Ronny2101,"Una caminata por mi #Astorga 👨‍👩‍👧‍👦💫 ❤
#maragato #castillayleon #astorga #familia #love en Astorga, Castilla y León, Spain https://t.co/vexRYOjbtx"
1397635511305576448,naritete,"Miércoles de biblioteca y cuenta cuentos y hoy del @festivalteresetes!!
.
.
.
.
.
.
#mini #miniyo #54meses #lagranoyaquevoliavolar #conlia #conjuan #amiguitos #risas #bibliotecanoullevant https://t.co/XsX9ICcbo7"
1397635544348340228,MGamonales,"La juventud es el momento de estudiar la sabiduría; la vejez, el de practicarla (Jean Jacques Rousseau). en Pantano De Alcántara https://t.co/Y4KWMHkTsG"
1397635584307437568,salesianbadajoz,"Se ha renovado la Sala de Juntas.
Esperamos poder tener pronto reuniones presenciales menos estrictas.
#SalesianosBadajoz en Colegio Salesiano ""Ramón Izquierdo"" https://t.co/uZAwNHyBlo"
1397636093764378629,SteveTelleria,#yuca #conlatardequehace #parasonia #carrotcake en Malasaña Madrid https://t.co/2Z7wlEZa4A
1397636256205529090,arantxeitor,"El amor no se busca, te encuentra!
.
.
.
#love #loveyou #smile #lifestyle #atmellademar en RVHotels Ametlla Mar https://t.co/F52Fcf5aO0"
1397636474506551307,davidrev12,"Tras mucho tiempo vuelvo a pisar el templo. Qué ganas de verlo lleno, animando al equipo de mis amores.💛💙 en Estadio Ramón de Carranza https://t.co/KFjxqPEHhr"
1397637152939335683,dennysinhu,Con @yakirlevizurich en Prima’s Bar https://t.co/QOZBhaeOWP
1397637527599607808,onijiabukara,Con los #agapornis de @abe.wrld uno se siente como en #PalmitosPark jajaa en Las Palmas de Gran Canaria https://t.co/G7r7hQtrIJ
1397637993448439809,ElMesonet,Tarta de queso mascarpone con frutos rojos del bosque. en El Mesonet https://t.co/HUiclSbLsA
1397638265147166720,taniaserrano,"Tarde en #atlantisxanadu ,aprovechando la tarde 😍😍 en Atlantis Aquarium Madrid https://t.co/ijUPscgrkm"
1397638516826325000,maillo,"Rodaje suave + gym, seguimos adelante.
#hidratatebien💦💦 #atletismoenruta @victorgarciablazquez @clubadasbarco en Vía Verde del Aceite (Lucena) https://t.co/VzYO5NhWUO"
1397638987767066625,Mr_Anthony9,Mucho gusto soy el que siempre has esperao. en VALDEPEÑAS https://t.co/LB65TR7IWa
1397639109666131972,chaches64,Directo en facebook!!! en Lleida Cataluña https://t.co/1Wmd0b74HP
1397639154171793409,coro72,"Estrenando el nuevo parque de Calistenia!
#OCR #calistenia #labajadilla #marbella #gas #finou #fotlifit en Marbella, Málaga, Spain https://t.co/K7AWXIQCy4"
1397639527158620162,pablosolera1,"No te distraigas con cosas que no puedes controlar 🌅 en Les Rotes, Dénia https://t.co/i3yQTMJBWU"
1397639642053320704,martincarames,"Pollo Frito Coreano. en Madrid, Spain https://t.co/SWix1OZDM4"
1397639693546803205,jcgf_31,Madre mía que primera parte... que ritmo que intensidad de partido. Partidazo @manchesterunited vs @villarrealcf  #europaleague #villarealcf #manchesterunited #fútbol en Guadix https://t.co/An8yO1EJPh
1397639830989910039,vaneheres26,"Qué gusto poder volver!!#MonteIgueldo #Donostia #PaisVasco en Igueldo, Pais Vasco, Spain https://t.co/orLRFawgWl"
1397639888246345729,AdrielCiclista,"Vamos!!!!!!!!!!!! en Torrente, Valenciana, Spain https://t.co/GN0AAoQJRo"
1397640091884007424,NikTanaskovic,"Cuantos recuerdos….Descanse en paz Cristóbal Halffter. en Villafranca del Bierzo, Spain https://t.co/XrYowogmAy"
1397640160947343362,caarmenruiz_,🦋 en El Retiro - Jardines del Buen Retiro de Madrid https://t.co/QdycgSz7WY
1397640167448453120,EUROPEDIRECTLSP,Conferencia sobre el Futuro de Europa: pleno inaugural y evento ciudadano en junio https://t.co/nRIYyCMKEI en En La Playa de Las Canteras https://t.co/qf191l0ZI4
1397640292803747844,Misslareta,".
El ramo, los ramos.
.
.
@rentalmodecastellon  
@rentalmodevalencia 
@grupopenalen 
@photographer.vini  
@j_arques 
@rgpeluqueros 
@misslareta en Alqueria de Mascaros https://t.co/pB0ZqsQXgg"
