userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas,Renta_zona_usuario,sentiment
784655,maikelnai,0.08,0.17,0.0,0.0,0.0,0.0,0.25,0.0,1.17,0.5,0.58,0.83,0.25,1.08,0.08,0.0,0.0,0.0,0.0,2.17,1.75,3.92,1.42,0.33,0.75,0.75,2.42,2.17,2.25,0.25,0.0,0.0,0.08,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,6.83,3.0,4.75,2.42,1.0,0.83,1.67,0.5,0.08,0.17,0.08,0.17,0.0,0.08,0.5,4.97,3.5,15050.0,0.04
785761,josecrem,0.0,0.44,0.06,0.0,0.12,0.06,0.5,0.0,1.44,0.62,0.75,1.0,0.38,1.12,0.06,0.0,0.12,0.06,0.0,0.94,2.38,3.31,1.75,0.25,1.0,1.0,1.31,1.31,2.0,0.19,0.06,0.0,0.12,0.0,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.31,0.94,7.47,4.62,6.62,0.81,0.62,0.62,2.06,0.62,0.31,0.25,0.5,0.06,0.0,0.12,0.62,4.04,4.06,15750.0,0.19
1724941,cuellar,0.3,0.86,0.07,0.0,0.14,0.05,1.16,0.05,3.12,1.74,1.07,2.47,0.47,2.26,0.3,0.0,0.37,0.12,0.12,1.88,3.88,5.77,2.72,0.79,2.02,1.44,2.3,2.26,3.49,1.26,0.26,0.09,0.56,0.0,0.51,0.51,0.16,0.02,0.05,0.0,0.02,0.4,0.26,0.81,5.75,2.84,4.65,1.14,0.93,1.35,2.07,1.3,0.6,0.23,0.91,0.3,0.09,0.14,1.21,5.75,7.67,11550.0,0.11
2902311,neojams,0.0,0.64,0.09,0.0,0.45,0.09,0.73,0.0,1.18,0.18,0.55,0.73,0.09,0.18,0.45,0.0,0.36,0.09,0.09,1.09,1.91,3.0,1.27,0.0,0.55,0.73,1.73,1.73,1.45,0.18,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1.0,7.44,3.73,5.36,0.36,0.36,0.55,0.27,0.36,0.0,0.27,0.27,0.0,0.0,0.0,0.36,4.36,3.91,15750.0,0.14
7664852,JoseM_SGP,0.43,1.4,0.06,0.03,0.55,0.11,1.84,0.11,2.48,1.4,0.75,1.84,0.52,1.5,0.33,0.0,0.48,0.12,0.13,1.24,3.76,5.0,2.4,0.89,1.82,1.41,1.77,1.7,2.78,1.43,0.34,0.05,0.63,0.0,0.77,0.3,0.22,0.07,0.05,0.01,0.01,0.06,0.11,0.8,6.01,3.48,4.65,3.03,0.89,1.84,2.35,1.28,0.59,0.28,0.94,0.3,0.02,0.09,1.26,5.72,7.74,12950.0,0.01
11192212,JeffreyHerrero,0.16,0.47,0.0,0.0,0.32,0.07,0.61,0.02,1.25,0.44,0.7,0.95,0.26,0.72,0.11,0.0,0.35,0.05,0.07,1.6,2.44,4.04,1.84,0.35,0.82,1.33,1.88,1.84,2.4,0.49,0.14,0.11,0.3,0.02,0.21,0.11,0.12,0.02,0.02,0.0,0.07,0.88,0.07,1.0,6.74,3.6,4.96,2.12,1.39,0.42,1.18,0.44,0.12,0.18,0.37,0.07,0.02,0.02,0.42,4.29,4.61,15750.0,0.23
11625152,darioalvarez,0.69,1.79,0.18,0.01,0.58,0.09,2.54,0.11,6.2,3.17,2.27,4.75,1.13,4.22,0.76,0.0,0.88,0.2,0.32,2.72,8.46,11.18,5.59,2.12,3.96,3.59,3.64,3.48,6.03,1.63,0.28,0.1,0.46,0.0,0.74,0.51,0.22,0.04,0.06,0.0,0.05,0.01,0.08,1.03,5.71,2.65,4.69,1.53,0.83,3.65,4.88,2.89,1.15,0.84,2.16,0.65,0.09,0.18,2.78,7.63,14.66,16450.0,0.01
12105232,AraqueAuron,0.15,0.6,0.03,0.01,0.28,0.06,0.75,0.04,1.45,0.7,0.45,0.97,0.35,0.82,0.3,0.0,0.23,0.05,0.13,1.83,3.07,4.89,1.4,0.85,1.33,0.88,2.68,2.64,2.39,0.47,0.07,0.03,0.2,0.0,0.29,0.09,0.04,0.01,0.02,0.01,0.01,0.1,0.28,0.55,6.19,4.31,5.4,1.31,0.81,1.4,1.93,0.7,0.23,0.22,0.46,0.19,0.02,0.03,0.67,4.58,5.22,15400.0,0.05
14080461,c_devega,0.25,1.5,0.0,0.0,0.75,0.25,1.75,0.0,2.0,0.75,1.25,1.75,0.5,1.25,0.0,0.0,0.75,0.0,0.0,1.75,3.75,5.5,2.75,1.0,1.25,2.5,1.75,1.75,2.5,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,6.29,3.5,5.38,2.75,2.0,1.5,2.75,1.0,0.75,0.25,0.5,0.5,0.0,0.0,1.0,3.95,7.0,13650.0,0.48
14567108,MaryRuiz_es,0.2,0.94,0.1,0.01,0.33,0.1,1.2,0.04,1.53,0.73,0.6,1.27,0.26,0.83,0.2,0.0,0.3,0.13,0.19,0.82,2.21,3.02,1.62,0.4,0.98,0.99,1.06,1.01,1.7,1.08,0.17,0.07,0.67,0.0,0.69,0.14,0.12,0.08,0.03,0.01,0.02,1.13,0.27,0.33,5.7,3.7,4.72,1.06,0.86,1.36,1.35,0.84,0.29,0.25,0.63,0.17,0.04,0.07,0.79,4.39,4.89,12250.0,0.32
14584086,Ptraci,1.03,2.5,0.07,0.01,0.89,0.18,3.32,0.32,3.61,1.89,1.38,3.1,0.56,2.14,0.35,0.0,0.74,0.24,0.36,0.9,5.32,6.22,3.6,1.19,2.6,2.19,1.43,1.43,4.07,2.88,0.53,0.12,1.67,0.0,1.88,0.31,0.4,0.17,0.1,0.03,0.01,0.67,0.01,0.19,4.9,2.69,4.05,0.88,0.54,1.89,3.75,1.31,0.53,0.36,1.1,0.19,0.04,0.06,1.25,6.2,11.57,15050.0,-0.13
15413795,DioxCorp,0.11,1.23,0.07,0.0,0.26,0.22,1.26,0.16,2.18,1.25,0.53,1.58,0.36,1.11,0.4,0.0,0.47,0.14,0.15,0.52,2.6,3.12,1.66,0.42,1.29,0.81,1.03,1.04,2.64,1.18,0.19,0.01,0.59,0.0,0.82,0.12,0.14,0.03,0.01,0.04,0.03,0.0,0.62,0.89,6.76,3.88,5.45,1.49,1.16,0.64,1.6,0.78,0.34,0.21,0.71,0.04,0.01,0.04,0.75,4.97,5.77,16450.0,0.15
15558499,marcel_invernon,0.11,2.33,0.0,0.0,0.89,0.0,2.33,0.11,4.11,2.33,1.11,3.11,0.56,2.89,0.67,0.0,0.44,0.0,0.22,0.89,5.67,6.56,2.22,1.33,1.44,1.56,3.56,3.0,5.44,1.56,0.0,0.0,0.56,0.0,0.78,0.22,0.0,0.0,0.44,0.11,0.0,0.0,0.56,1.0,6.22,2.11,5.06,2.33,2.11,3.78,4.44,0.78,0.22,0.56,0.33,0.44,0.0,0.22,0.78,5.92,11.11,17150.0,0.19
15955822,esunen,0.31,1.46,0.08,0.0,0.49,0.15,1.74,0.1,2.81,1.5,1.14,2.27,0.65,2.1,0.17,0.0,0.35,0.09,0.28,0.64,3.43,4.07,2.33,0.87,1.51,1.54,1.02,0.87,3.06,1.28,0.27,0.06,0.52,0.0,0.65,0.33,0.14,0.11,0.01,0.01,0.02,0.45,0.2,0.35,5.85,3.35,4.74,0.8,0.71,1.23,1.83,1.06,0.41,0.26,0.78,0.24,0.04,0.04,1.01,5.69,7.15,15750.0,-0.0
16379709,mercedesferrer,0.31,1.25,0.06,0.0,0.47,0.0,1.44,0.22,2.53,0.75,1.38,1.75,0.66,1.5,0.41,0.0,0.53,0.06,0.25,0.53,3.81,4.34,2.44,0.88,1.44,1.88,1.03,1.03,2.78,0.75,0.16,0.06,0.44,0.0,0.41,0.19,0.12,0.03,0.0,0.0,0.0,0.31,1.06,0.97,6.9,4.0,5.3,1.34,1.03,2.0,2.94,0.97,0.25,0.34,0.78,0.19,0.03,0.06,0.94,4.97,6.69,14350.0,0.17
16476480,jmorenol,0.44,1.89,0.11,0.0,0.56,0.11,2.22,0.22,2.33,0.89,1.22,2.0,0.56,1.56,0.22,0.0,0.22,0.33,0.44,0.67,4.56,5.22,3.22,0.67,1.44,2.44,1.33,1.33,3.0,3.11,0.56,0.11,1.11,0.0,2.0,0.67,0.33,0.11,0.0,0.0,0.0,0.22,0.33,0.44,5.33,2.56,4.11,1.22,1.0,1.89,2.89,1.0,0.33,0.22,0.67,0.33,0.22,0.0,0.78,5.96,9.11,12950.0,-0.16
16798736,JulioGil,0.29,0.76,0.04,0.01,0.26,0.09,1.01,0.09,1.61,0.96,0.42,1.27,0.24,1.03,0.23,0.0,0.21,0.11,0.11,1.25,2.24,3.5,1.54,0.51,1.21,0.75,1.53,1.45,2.17,0.76,0.14,0.04,0.37,0.0,0.43,0.16,0.1,0.03,0.03,0.0,0.02,0.95,0.2,0.36,5.97,3.66,5.11,1.19,0.92,0.97,1.7,0.64,0.24,0.13,0.47,0.13,0.03,0.03,0.6,4.49,4.89,15050.0,-0.03
17151860,WirrIst_DasVolk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.5,7.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,12250.0,-0.09
17655662,PuertoPlataRed,0.1,0.5,0.03,0.0,0.19,0.0,0.6,0.02,1.08,0.52,0.35,0.86,0.12,0.67,0.2,0.0,0.17,0.03,0.1,2.29,3.13,5.42,2.43,0.44,1.62,1.22,2.57,2.55,2.16,0.27,0.06,0.02,0.18,0.01,0.18,0.05,0.01,0.01,0.01,0.0,0.02,0.37,1.39,1.03,7.18,5.04,6.01,1.95,1.41,1.12,2.61,0.75,0.18,0.13,0.42,0.07,0.02,0.02,0.73,4.41,5.43,15050.0,0.18
18629172,_Francis_Garcia,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.5,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,1.0,0.0,1.0,0.0,1.5,1.5,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.49,3.5,5.5,0.0,0.0,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.55,5.5,16450.0,0.59
18776130,rosaswarez,0.16,0.81,0.03,0.01,0.21,0.1,0.89,0.11,1.69,0.93,0.52,1.37,0.27,1.03,0.24,0.0,0.22,0.13,0.16,1.04,2.29,3.32,1.64,0.4,1.14,0.87,1.31,1.29,1.86,0.9,0.22,0.06,0.49,0.0,0.52,0.14,0.11,0.09,0.0,0.01,0.04,1.05,0.92,0.4,6.76,4.49,5.85,1.06,0.81,1.08,2.78,0.73,0.3,0.19,0.56,0.14,0.03,0.05,0.69,4.24,5.0,11550.0,0.19
18901057,GuitarCafe,0.52,1.08,0.04,0.01,0.39,0.17,1.57,0.11,2.22,1.21,0.83,1.78,0.44,1.43,0.18,0.0,0.42,0.15,0.16,0.81,3.18,3.99,2.18,0.68,1.56,1.25,1.18,1.13,2.21,1.28,0.22,0.05,0.7,0.0,0.82,0.22,0.13,0.06,0.03,0.0,0.02,0.11,0.04,0.44,5.95,3.42,4.97,0.7,0.51,1.37,1.59,0.85,0.41,0.23,0.64,0.19,0.02,0.05,0.82,5.04,6.33,15050.0,0.09
20937876,PerfeArias,0.18,0.82,0.0,0.0,0.27,0.05,1.0,0.0,1.18,0.32,0.64,0.68,0.36,0.68,0.23,0.0,0.14,0.09,0.0,2.36,2.36,4.73,1.41,0.77,0.73,1.41,2.59,2.55,2.45,0.77,0.09,0.09,0.41,0.0,0.45,0.14,0.09,0.09,0.0,0.0,0.0,0.27,0.0,1.0,6.25,3.23,4.95,1.64,1.32,1.0,4.64,0.32,0.14,0.05,0.32,0.0,0.09,0.0,0.23,4.8,5.5,13650.0,0.01
21562932,Jotatede,0.14,1.21,0.0,0.07,0.29,0.0,1.21,0.14,3.07,1.36,1.64,3.07,0.36,2.71,0.07,0.0,0.29,0.0,0.36,2.36,4.64,7.0,3.29,0.79,1.0,3.0,3.0,2.93,4.21,0.5,0.07,0.0,0.21,0.0,0.14,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.07,1.0,6.19,3.29,5.25,0.64,0.36,1.57,2.36,0.71,0.21,0.29,0.57,0.14,0.0,0.0,0.71,6.11,8.14,16450.0,0.04
22403858,xaimecortizo,0.05,0.95,0.05,0.0,0.79,0.11,0.95,0.11,2.21,0.79,1.0,1.74,0.26,1.05,0.42,0.0,0.58,0.16,0.11,1.05,4.26,5.32,2.89,0.74,1.63,2.0,1.68,1.68,2.79,0.95,0.26,0.05,0.37,0.05,0.42,0.32,0.16,0.0,0.0,0.05,0.11,2.58,1.79,1.0,7.1,4.79,5.68,1.11,0.58,1.11,1.84,0.84,0.37,0.16,0.53,0.21,0.05,0.0,0.79,5.52,7.53,15050.0,0.54
23431939,linandara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.33,6.33,0.67,0.0,0.0,0.67,5.67,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,1.0,7.18,3.33,6.0,4.0,1.33,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,1.33,8750.0,0.17
24855284,marcodipalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,10.63,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12250.0,0.98
26592794,felipegarona,0.29,0.71,0.07,0.0,0.5,0.07,1.07,0.0,2.0,1.21,0.71,1.64,0.36,0.93,0.07,0.0,0.43,0.14,0.36,1.29,2.57,3.86,1.93,0.36,1.14,1.14,1.57,1.57,2.71,1.57,0.5,0.0,0.36,0.0,0.79,0.29,0.14,0.07,0.0,0.0,0.29,0.5,1.64,0.79,7.95,4.36,7.21,0.79,0.79,0.93,0.93,0.57,0.21,0.14,0.29,0.14,0.0,0.0,0.57,4.77,5.64,11550.0,0.2
26820242,McTalobos,0.75,0.25,0.0,0.0,0.5,0.0,1.0,0.0,2.0,1.0,0.75,1.5,0.25,1.5,0.25,0.0,0.25,0.0,0.0,1.75,2.0,3.75,2.0,0.0,1.0,1.0,1.75,1.75,2.75,1.0,0.75,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,6.8,4.0,4.5,3.0,1.5,0.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,5.0,13650.0,-0.23
28795720,Pelonchi,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.33,0.0,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.33,1.33,1.33,2.67,1.0,0.0,0.67,0.33,1.67,1.67,1.67,0.67,0.33,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,3.0,1.33,0.67,6.78,4.67,5.67,2.33,1.33,0.33,1.0,1.0,0.33,0.67,1.0,0.0,0.0,0.33,1.0,3.89,3.0,14350.0,0.33
30445634,mjcerval,0.14,1.0,0.07,0.0,0.5,0.14,1.14,0.0,2.57,1.57,0.64,2.07,1.43,1.71,0.36,0.0,0.43,0.07,1.21,3.0,3.64,6.64,1.86,1.43,2.21,1.07,3.36,3.36,2.71,0.64,0.07,0.0,0.21,0.0,0.43,0.14,0.0,0.0,0.0,0.07,0.0,2.0,1.29,1.0,6.35,3.29,5.14,2.71,1.36,0.71,4.14,0.93,0.5,0.14,0.57,0.29,0.07,0.07,0.86,5.17,7.57,11550.0,0.69
30481974,cordobesanti,0.1,0.47,0.05,0.01,0.28,0.14,0.59,0.05,1.76,0.95,0.67,1.23,0.47,1.04,0.14,0.0,0.42,0.1,0.06,2.23,2.77,5.0,1.76,0.72,1.4,1.04,2.56,2.53,2.74,0.53,0.04,0.01,0.19,0.0,0.36,0.09,0.04,0.03,0.0,0.0,0.01,0.01,0.76,0.74,6.34,3.29,5.35,1.42,0.85,1.06,1.68,0.56,0.21,0.06,0.37,0.08,0.03,0.01,0.54,4.8,5.64,15050.0,0.09
30620408,Saricientta,0.43,1.29,0.0,0.0,0.29,0.29,1.57,0.0,3.57,2.29,0.71,2.71,0.43,2.29,0.57,0.0,0.43,0.14,0.14,1.14,3.86,5.0,2.43,0.86,2.71,0.57,1.71,1.71,3.14,1.71,0.57,0.0,1.14,0.0,0.71,0.0,0.43,0.0,0.43,0.0,0.29,0.43,0.14,0.0,5.12,3.86,4.43,1.86,1.57,2.71,2.43,0.86,0.57,0.14,0.71,0.14,0.0,0.0,0.86,5.66,7.29,15050.0,-0.41
31390222,annacivis,0.04,0.84,0.0,0.0,0.51,0.06,0.84,0.02,0.94,0.29,0.57,0.65,0.24,0.29,0.08,0.0,0.49,0.08,0.02,2.24,2.61,4.84,1.57,1.0,0.94,1.57,2.33,2.27,3.16,0.39,0.12,0.04,0.24,0.0,0.18,0.1,0.08,0.02,0.02,0.0,0.02,0.67,2.65,1.0,7.48,3.73,5.91,1.8,1.71,0.27,1.06,0.73,0.24,0.16,0.27,0.43,0.0,0.0,0.73,4.6,5.59,16450.0,0.34
32451246,VeoVeoMazmorreo,0.55,1.64,0.07,0.04,0.59,0.09,2.16,0.12,2.05,1.08,0.75,1.69,0.41,1.25,0.23,0.0,0.35,0.13,0.29,1.15,3.19,4.34,1.95,0.72,1.55,1.12,1.67,1.66,2.25,1.89,0.35,0.06,1.03,0.0,1.01,0.36,0.22,0.12,0.13,0.0,0.05,0.02,0.12,0.26,5.56,3.64,4.74,2.07,1.28,1.53,4.65,0.65,0.3,0.2,0.5,0.14,0.01,0.02,0.65,5.35,7.15,14350.0,0.08
36018448,racsoslav,0.0,1.54,0.0,0.0,0.69,0.08,1.38,0.15,2.46,1.08,0.62,1.15,0.69,1.31,0.77,0.0,0.23,0.15,0.0,0.54,2.31,2.85,1.46,0.38,0.77,1.0,1.08,1.0,2.15,0.69,0.23,0.0,0.38,0.0,0.31,0.0,0.23,0.08,0.0,0.0,0.08,0.69,0.0,0.92,6.93,3.77,4.81,0.85,0.77,0.92,2.23,0.31,0.15,0.0,0.15,0.15,0.0,0.15,0.31,4.59,5.31,17150.0,0.14
36488556,Barbuzard,0.06,0.5,0.02,0.0,0.43,0.04,0.57,0.0,1.69,1.09,0.44,1.46,0.15,1.07,0.15,0.0,0.3,0.17,0.04,1.93,2.61,4.54,1.74,0.13,1.11,0.74,2.69,2.67,2.43,0.3,0.06,0.0,0.19,0.0,0.11,0.04,0.09,0.06,0.0,0.0,0.0,0.15,3.74,1.02,7.26,3.52,5.79,2.26,1.85,0.59,1.56,0.65,0.28,0.19,0.57,0.02,0.04,0.04,0.61,4.56,4.74,12950.0,0.41
38718362,Janui,0.31,0.38,0.1,0.0,0.07,0.38,0.72,0.07,1.03,0.72,0.31,0.93,0.17,0.9,0.0,0.0,0.07,0.07,0.07,1.41,2.59,4.0,1.59,0.45,1.21,0.83,1.97,1.97,2.41,0.45,0.1,0.03,0.1,0.0,0.28,0.1,0.07,0.0,0.0,0.0,0.0,1.97,0.07,1.0,6.75,2.86,5.33,1.69,1.28,0.48,1.03,0.55,0.24,0.21,0.45,0.07,0.0,0.07,0.55,4.51,5.0,17150.0,0.57
40046062,ww1942,0.45,1.46,0.07,0.02,0.44,0.11,1.86,0.15,2.03,1.19,0.6,1.55,0.38,1.17,0.25,0.0,0.45,0.13,0.09,0.88,2.54,3.42,1.63,0.57,1.24,0.91,1.27,1.22,2.04,1.93,0.34,0.06,1.13,0.0,1.21,0.29,0.18,0.17,0.08,0.01,0.0,0.12,0.06,0.24,5.25,3.54,4.49,1.12,0.82,1.3,2.34,0.79,0.33,0.15,0.66,0.1,0.06,0.03,0.72,5.06,6.3,14350.0,-0.03
40444023,luismiglesias,0.18,0.96,0.05,0.01,0.44,0.13,1.11,0.08,2.95,1.45,1.14,2.17,0.62,2.0,0.36,0.0,0.36,0.13,0.17,0.78,5.04,5.82,3.27,1.45,2.27,2.38,1.17,1.11,3.48,0.93,0.19,0.06,0.43,0.0,0.45,0.18,0.13,0.05,0.07,0.03,0.03,0.31,0.81,0.73,6.73,4.17,5.81,0.75,0.63,2.22,2.82,1.72,0.73,0.5,1.15,0.55,0.04,0.05,1.65,5.73,8.02,10850.0,0.16
42286343,ludthor,0.64,0.91,0.0,0.18,1.09,0.09,1.45,0.18,2.91,1.64,1.0,3.18,0.27,1.64,0.27,0.0,0.64,0.27,0.82,0.73,4.91,5.64,3.82,0.82,2.36,2.18,1.09,1.0,4.27,1.64,0.0,0.09,0.82,0.0,0.55,0.36,0.64,0.09,0.0,0.0,0.0,0.73,0.09,0.64,5.58,2.55,4.59,1.27,0.73,2.09,2.55,1.09,0.45,0.27,0.91,0.18,0.0,0.09,1.09,6.43,9.82,12950.0,-0.1
42862692,cactitus,0.53,1.41,0.06,0.03,0.44,0.09,1.88,0.16,1.31,0.61,0.53,1.15,0.23,0.71,0.16,0.0,0.25,0.16,0.21,0.79,1.88,2.67,1.27,0.41,0.82,0.84,1.01,1.0,1.47,1.91,0.45,0.08,1.28,0.02,1.35,0.19,0.26,0.04,0.04,0.01,0.04,0.07,0.31,0.22,5.21,3.25,4.24,1.12,0.88,1.24,2.74,0.69,0.25,0.16,0.53,0.14,0.05,0.02,0.64,4.66,5.58,10850.0,0.13
42893710,Lezard82,0.52,1.74,0.0,0.01,0.49,0.13,2.17,0.09,3.04,1.18,1.4,2.16,0.79,1.87,0.45,0.0,0.36,0.3,0.29,1.01,4.44,5.45,2.91,1.06,1.48,2.44,1.53,1.48,3.25,1.94,0.25,0.05,0.94,0.0,1.22,0.23,0.22,0.13,0.1,0.03,0.0,1.19,0.3,0.53,5.44,2.86,4.43,1.9,1.12,1.4,3.87,1.48,0.42,0.4,0.91,0.25,0.01,0.12,1.47,5.56,9.18,11550.0,0.07
44210076,JordiMayor,0.43,3.57,0.57,0.0,1.86,0.29,4.43,0.14,5.14,2.29,2.0,3.0,1.43,2.86,0.86,0.0,0.57,0.43,0.29,1.43,7.86,9.29,4.29,2.86,3.71,3.43,2.14,2.14,5.29,2.57,0.43,0.0,1.0,0.0,1.0,0.29,0.29,0.0,0.71,0.14,0.14,0.0,0.14,0.0,5.06,2.71,4.43,1.43,1.29,3.43,8.86,3.0,0.86,0.71,1.86,1.14,0.29,0.29,2.71,5.74,15.86,13650.0,-0.36
48708627,Robert_da5_Diaz,0.67,1.67,0.33,0.0,1.0,0.17,2.33,0.33,2.5,1.67,0.83,2.0,0.5,2.0,0.0,0.0,0.33,0.0,0.17,1.0,1.67,2.67,1.33,0.33,1.0,0.67,1.0,1.0,2.67,1.0,0.17,0.17,0.5,0.0,0.17,0.33,0.33,0.0,0.0,0.0,0.17,0.0,1.5,0.67,6.65,2.83,5.17,2.83,2.17,1.17,4.67,1.17,0.67,0.5,0.83,0.33,0.0,0.0,1.17,6.17,7.0,16450.0,0.32
49151751,meneldis,0.31,1.63,0.03,0.0,0.66,0.2,1.77,0.2,2.54,1.31,0.99,2.06,0.43,1.53,0.24,0.0,0.53,0.16,0.14,0.61,3.74,4.36,2.49,0.84,1.66,1.63,1.07,1.03,2.86,1.79,0.33,0.09,0.83,0.0,1.01,0.23,0.23,0.07,0.21,0.0,0.04,0.37,0.66,0.46,5.66,3.14,4.57,1.1,0.79,1.9,4.69,1.09,0.33,0.36,0.69,0.37,0.01,0.03,1.04,5.54,8.23,15050.0,-0.13
49842850,Stubylok,0.05,0.83,0.05,0.0,0.37,0.05,0.84,0.08,0.85,0.31,0.48,0.62,0.2,0.37,0.07,0.0,0.37,0.02,0.03,0.19,3.02,3.21,2.61,0.3,0.48,1.55,1.19,0.31,2.88,0.63,0.2,0.02,0.31,0.01,0.4,0.09,0.07,0.03,0.02,0.0,0.02,3.19,0.21,0.99,7.25,2.69,5.19,2.52,1.55,1.53,2.05,0.38,0.17,0.09,0.27,0.1,0.01,0.01,0.37,4.39,4.98,13650.0,0.23
50021837,OscarSalasM,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.67,0.0,0.33,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.67,0.33,1.0,0.33,1.67,2.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.75,3.0,5.67,1.33,1.0,0.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.0,15050.0,0.64
52456967,paula_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,1.0,1.0,0.5,0.0,0.0,1.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.7,1.5,3.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,17150.0,0.0
54143318,netbookk,0.45,1.56,0.07,0.01,0.64,0.15,1.95,0.15,2.38,1.23,1.05,2.03,0.56,1.52,0.1,0.0,0.46,0.19,0.28,0.42,3.74,4.15,2.47,0.98,1.67,1.71,0.77,0.7,2.5,1.93,0.35,0.1,0.84,0.0,1.08,0.39,0.31,0.08,0.05,0.0,0.02,0.13,0.47,0.38,5.83,3.53,4.91,0.93,0.77,1.28,6.55,1.12,0.47,0.32,0.82,0.29,0.04,0.02,1.08,5.65,7.99,12950.0,0.1
