userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas,Renta_zona_usuario,sentiment
731458412794499072,albba_t94,0.17,1.0,0.06,0.0,0.24,0.1,1.13,0.12,0.94,0.63,0.27,0.76,0.26,0.64,0.04,0.0,0.18,0.06,0.05,0.47,1.42,1.9,0.92,0.45,0.73,0.55,0.62,0.53,1.01,1.03,0.23,0.04,0.5,0.0,0.64,0.18,0.13,0.03,0.05,0.0,0.01,0.78,0.0,0.08,5.28,3.83,4.85,0.42,0.36,0.56,0.91,0.49,0.23,0.1,0.44,0.05,0.04,0.01,0.42,4.32,3.38,11550.0,-0.04
741365706055417856,hijosdespartan,0.17,0.67,0.0,0.0,0.5,0.17,1.0,0.0,1.83,1.33,0.5,1.67,0.17,1.5,0.0,0.0,0.17,0.17,0.0,1.17,2.17,3.33,1.67,0.5,1.67,0.5,1.17,1.17,2.67,0.5,0.0,0.0,0.17,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,1.83,1.83,1.17,6.67,2.33,4.5,1.17,0.83,1.17,1.0,0.83,0.5,0.0,0.67,0.17,0.0,0.0,0.83,4.87,5.5,15750.0,0.21
753023866096812033,canclotacf,0.03,0.87,0.03,0.0,0.28,0.03,0.59,0.33,3.13,1.82,0.69,1.77,0.97,0.62,0.62,0.0,0.79,0.13,1.03,1.95,5.13,7.08,2.03,1.97,2.62,1.23,3.23,3.08,4.08,1.62,1.21,0.05,0.85,0.0,0.41,0.08,0.18,0.05,0.0,0.0,0.9,0.92,3.44,1.46,6.7,4.13,6.09,4.21,2.72,0.74,6.49,1.36,0.26,0.18,0.77,0.51,0.05,0.0,1.28,4.91,8.41,16450.0,0.77
762953902195089409,NikTanaskovic,0.0,0.67,0.0,0.0,0.33,0.0,0.67,0.0,1.33,0.0,1.33,1.33,0.0,0.67,0.0,0.0,0.33,0.33,0.0,3.33,1.67,5.0,1.67,0.0,0.67,1.0,3.33,3.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.2,6.0,6.17,0.67,0.67,0.33,1.0,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.33,4.5,4.67,13650.0,0.67
765151600197398528,motivate_radio,0.03,1.09,0.0,0.0,0.12,0.03,1.09,0.06,0.88,0.41,0.41,0.74,0.21,0.68,0.06,0.0,0.09,0.0,0.09,1.56,3.29,4.85,2.32,0.44,1.5,1.26,2.09,2.09,1.91,0.56,0.12,0.06,0.35,0.0,0.32,0.06,0.12,0.03,0.0,0.0,0.03,0.06,0.21,1.06,7.06,4.26,5.63,2.38,1.88,1.06,4.06,0.62,0.24,0.18,0.44,0.18,0.12,0.0,0.5,3.99,5.12,13650.0,0.51
785488050847645696,sandf_10,0.21,0.95,0.02,0.01,0.28,0.07,1.11,0.08,1.23,0.57,0.25,0.75,0.25,0.56,0.41,0.0,0.19,0.04,0.15,0.59,1.69,2.28,0.99,0.52,0.79,0.7,0.79,0.77,1.12,0.98,0.18,0.08,0.58,0.0,0.71,0.14,0.08,0.03,0.02,0.01,0.01,0.25,0.0,0.05,5.26,3.82,4.57,1.17,1.0,0.62,1.17,0.48,0.18,0.13,0.42,0.05,0.01,0.02,0.46,4.47,3.85,10850.0,0.01
792019202752274433,gonzaaloriv,0.22,1.38,0.0,0.03,0.31,0.09,1.53,0.09,1.28,0.56,0.56,1.38,0.22,0.62,0.16,0.0,0.41,0.0,0.44,0.53,1.69,2.22,1.28,0.28,0.72,0.84,0.66,0.66,1.41,1.22,0.19,0.06,0.72,0.0,0.78,0.28,0.09,0.06,0.0,0.0,0.03,0.22,0.0,0.03,4.13,3.03,3.78,1.22,0.94,0.72,0.16,0.56,0.31,0.12,0.53,0.03,0.06,0.03,0.5,5.15,4.47,15050.0,-0.23
798677324078215168,e_d_u_23,0.1,0.8,0.0,0.0,0.1,0.1,0.9,0.0,1.1,0.6,0.3,0.9,0.2,0.8,0.2,0.0,0.0,0.1,0.0,0.8,2.1,2.9,1.8,0.3,1.2,0.8,0.9,0.8,0.9,0.7,0.1,0.0,0.1,0.0,0.3,0.2,0.2,0.0,0.0,0.0,0.0,1.2,0.4,0.8,7.51,4.7,5.7,0.5,0.4,0.6,2.9,0.3,0.1,0.1,0.2,0.1,0.0,0.0,0.3,4.25,3.8,15750.0,0.38
800430827947442177,Trastarteando,0.0,0.8,0.0,0.0,0.6,0.0,0.8,0.0,1.2,0.6,0.6,0.8,0.4,0.4,0.0,0.0,0.6,0.0,0.2,0.0,2.0,2.0,1.2,0.4,0.6,1.2,0.2,0.4,2.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,1.0,7.95,2.2,5.6,1.2,1.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,4.4,15750.0,0.26
805532057891995649,MejorBajando,0.08,1.28,0.04,0.01,0.83,0.06,1.34,0.08,1.59,0.41,1.06,1.39,0.18,0.57,0.12,0.0,0.86,0.04,0.04,1.11,2.43,3.54,1.8,0.36,0.64,1.49,1.42,1.39,2.42,0.55,0.17,0.02,0.31,0.01,0.34,0.08,0.07,0.02,0.01,0.02,0.01,0.19,0.2,0.98,6.3,3.83,4.78,1.6,0.98,0.6,1.64,0.38,0.16,0.12,0.28,0.07,0.01,0.02,0.37,4.7,5.81,10150.0,-0.09
808273317698433024,SebastianDeDie1,0.0,0.94,0.0,0.0,1.0,0.0,0.94,0.0,0.88,0.62,0.25,0.88,0.0,0.0,0.0,0.0,0.88,0.0,0.0,2.69,1.25,3.94,1.0,0.06,0.69,0.38,2.88,2.88,2.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.81,1.0,6.61,4.31,5.0,2.0,0.94,0.81,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,4.12,15050.0,0.31
822525983236517888,carmenarpon,1.33,2.67,0.67,0.0,0.33,1.0,4.33,0.33,4.33,2.0,2.33,3.67,1.0,3.33,0.0,0.0,0.33,0.67,0.33,11.0,5.67,16.67,4.0,1.0,2.33,2.67,11.67,11.67,4.0,4.33,1.33,0.0,1.67,0.0,3.0,0.67,0.33,0.0,0.33,0.0,0.0,1.0,0.0,1.33,5.42,2.0,4.17,1.0,1.0,6.33,3.67,0.67,0.0,0.67,0.67,0.0,0.0,0.33,0.67,9.51,14.67,16450.0,-0.18
840287644789723138,RococoDecora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.25,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,15050.0,0.96
844552032157650945,vinilosymas_es,0.09,0.36,0.0,0.0,0.05,0.0,0.45,0.0,0.5,0.23,0.09,0.23,0.18,0.23,0.18,0.0,0.05,0.0,0.09,1.14,1.23,2.36,0.77,0.45,0.73,0.41,1.23,1.14,1.0,0.23,0.09,0.05,0.09,0.0,0.14,0.05,0.0,0.05,0.0,0.0,0.0,0.0,2.73,1.09,8.85,6.14,6.59,1.32,0.91,0.32,0.68,0.23,0.09,0.05,0.09,0.14,0.0,0.0,0.23,3.47,2.86,11550.0,0.02
