,Unnamed: 0,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_constituyente,Numero_constituyentes,Renta_zona_usuario,sentiment,tipo_renta
0,624.35,0.18,0.97,0.04,0.01,0.42,0.08,1.1,0.09,1.69,0.76,0.69,1.33,0.31,0.93,0.24,0.0,0.34,0.1,0.18,1.37,2.65,4.02,1.78,0.55,1.13,1.16,1.73,1.69,2.3,0.86,0.16,0.05,0.45,0.0,0.53,0.13,0.12,0.03,0.02,0.01,0.03,0.87,0.92,0.8,6.56,3.89,5.15,1.54,1.08,0.93,1.94,0.7,0.26,0.18,0.53,0.13,0.03,0.03,0.66,4.82,5.61,23905.25,0.28,rentas_altas
1,642.73,0.17,0.97,0.04,0.01,0.45,0.09,1.1,0.07,1.66,0.75,0.71,1.33,0.29,0.94,0.21,0.0,0.37,0.09,0.17,1.31,2.68,3.99,1.85,0.53,1.11,1.22,1.65,1.62,2.4,0.88,0.17,0.04,0.45,0.0,0.54,0.14,0.11,0.04,0.02,0.01,0.02,0.84,0.87,0.79,6.61,3.81,5.22,1.45,1.02,0.92,2.09,0.67,0.26,0.16,0.51,0.12,0.04,0.03,0.63,4.81,5.71,12033.65,0.24,rentas_bajas
