userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_constituyente,Numero_constituyentes,Renta_zona_usuario,sentiment
128044041,CalleD_Cesar,0.0,0.72,0.0,0.03,0.55,0.07,0.66,0.1,0.93,0.28,0.62,1.52,0.07,0.72,0.03,0.0,0.17,0.0,0.66,1.34,2.83,4.17,1.9,0.24,0.62,1.48,2.07,2.03,2.83,0.79,0.31,0.0,0.45,0.07,0.38,0.03,0.34,0.03,0.0,0.0,0.0,0.59,0.0,1.0,6.68,2.17,5.47,1.31,1.21,0.38,3.62,0.97,0.69,0.1,0.97,0.0,0.03,0.03,0.93,5.13,6.52,12250.0,0.23
129896032,patricia_bp,0.16,1.48,0.06,0.0,0.56,0.09,1.5,0.19,2.06,0.69,1.1,1.33,0.75,1.28,0.27,0.0,0.32,0.1,0.25,0.53,3.76,4.3,2.19,1.19,1.32,2.02,0.95,0.92,2.98,1.79,0.35,0.05,0.79,0.31,1.02,0.49,0.18,0.05,0.02,0.0,0.02,1.74,0.18,0.87,6.52,3.86,5.17,1.31,1.05,0.98,2.62,1.15,0.31,0.19,0.58,0.15,0.04,0.01,1.11,5.2,7.53,11550.0,0.4
131444980,gondry82,0.0,0.1,0.0,0.0,0.04,0.08,0.1,0.0,0.9,0.52,0.28,0.62,0.26,0.74,0.1,0.0,0.04,0.0,0.08,1.16,1.74,2.9,1.1,0.46,0.88,0.68,1.34,1.34,2.52,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,3.7,1.0,8.74,4.3,7.25,1.0,0.86,0.5,0.34,0.12,0.04,0.04,0.02,0.06,0.0,0.0,0.12,4.46,3.08,12250.0,0.21
132439956,wono_dj,0.08,0.77,0.0,0.0,0.0,0.08,0.85,0.0,1.23,0.62,0.46,0.85,0.23,0.62,0.15,0.0,0.15,0.23,0.08,2.77,2.08,4.85,1.0,0.38,0.85,0.54,3.46,3.46,2.15,0.54,0.23,0.0,0.15,0.15,0.31,0.15,0.0,0.0,0.0,0.0,0.08,0.54,2.54,1.0,7.57,4.31,5.92,3.62,2.31,0.62,3.46,0.31,0.08,0.08,0.15,0.08,0.08,0.08,0.23,3.9,5.0,11550.0,0.36
133770101,fendeq52,0.33,1.08,0.0,0.0,0.46,0.17,1.29,0.08,1.33,0.58,0.71,0.88,0.54,0.96,0.04,0.0,0.17,0.12,0.08,1.92,2.29,4.21,1.54,0.46,1.04,1.08,2.08,2.21,2.5,1.12,0.08,0.08,0.38,0.25,0.62,0.33,0.04,0.12,0.0,0.0,0.0,0.0,0.08,0.83,6.51,3.58,5.27,1.62,1.25,1.0,2.5,0.58,0.38,0.17,0.5,0.08,0.0,0.04,0.58,4.65,5.62,12250.0,0.11
137508630,djcesardelrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,9450.0,0.0
138403160,Lanagy,0.64,1.14,0.07,0.0,0.57,0.14,1.57,0.29,1.5,0.57,0.86,1.5,0.21,1.0,0.07,0.0,0.36,0.0,0.21,0.29,2.57,2.86,2.0,0.57,0.86,1.64,0.36,0.29,1.64,1.0,0.14,0.0,0.5,0.07,0.64,0.29,0.07,0.0,0.0,0.0,0.0,0.0,0.29,0.71,6.58,3.79,5.25,0.79,0.71,1.5,2.86,1.29,0.5,0.57,0.86,0.36,0.0,0.0,1.29,4.68,6.14,11550.0,0.24
140014447,ceramicax,0.23,1.46,0.0,0.0,0.54,0.08,1.62,0.08,1.85,1.38,0.38,1.85,0.23,1.08,0.08,0.0,0.62,0.08,0.15,0.85,3.54,4.38,2.77,0.54,1.92,1.38,1.08,1.08,2.31,1.46,0.31,0.08,0.69,0.23,0.92,0.15,0.31,0.0,0.08,0.0,0.0,1.77,0.23,0.31,6.72,4.77,5.69,3.08,2.54,1.0,3.85,1.15,0.31,0.38,1.0,0.0,0.0,0.15,1.15,4.84,6.46,12250.0,0.43
141063910,YuyoxCorzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.5,0.75,2.25,0.5,0.25,0.0,0.75,1.5,1.5,1.75,0.75,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,12.0,1.0,8.3,6.75,7.25,1.5,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,2.25,13650.0,0.93
142023050,Escuelaballet,0.4,0.6,0.2,0.0,0.2,0.0,1.2,0.0,3.4,1.2,1.8,2.0,1.0,2.2,0.4,0.0,0.2,0.2,0.4,1.6,4.8,6.4,3.2,1.2,2.0,2.2,2.2,2.0,4.6,0.8,0.2,0.4,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.6,1.4,0.0,1.0,5.88,2.2,4.4,2.6,1.8,0.4,3.2,1.2,0.2,0.6,0.4,0.4,0.0,0.2,1.2,6.18,8.4,11550.0,0.86
