,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas,Renta_zona_usuario,sentiment,tipo_renta
0,0.18,0.98,0.04,0.01,0.43,0.08,1.11,0.09,1.69,0.77,0.69,1.33,0.32,0.94,0.23,0.0,0.35,0.1,0.18,1.34,2.65,3.99,1.78,0.56,1.13,1.17,1.69,1.65,2.31,0.88,0.17,0.05,0.47,0.0,0.54,0.14,0.12,0.03,0.02,0.01,0.03,0.88,0.91,0.79,6.54,3.88,5.13,1.5,1.06,0.95,1.97,0.7,0.26,0.19,0.53,0.14,0.04,0.03,0.66,4.82,5.63,22876.71,0.26,rentas_altas
1,0.17,0.96,0.03,0.01,0.42,0.09,1.08,0.08,1.65,0.74,0.69,1.31,0.29,0.92,0.22,0.0,0.36,0.09,0.17,1.34,2.64,3.98,1.79,0.54,1.1,1.19,1.69,1.66,2.34,0.86,0.17,0.05,0.44,0.0,0.52,0.14,0.11,0.04,0.02,0.01,0.03,0.83,0.87,0.78,6.57,3.88,5.2,1.5,1.04,0.92,2.01,0.67,0.25,0.17,0.5,0.13,0.03,0.03,0.63,4.79,5.62,13636.02,0.23,rentas_bajas
