16798736,_1490374395830939649,JulioGil,2022-02-06T17:18:40.000Z,Wass estaba lastimado de la rodilla por la barrida imprudente de Ferrán y Simeone lo manda de vuelta al campo: VINTAGE COBRA KAI.
16798736,_1490438275303104515,JulioGil,2022-02-06T21:32:30.000Z,49ers vs Cardz en México en MNF… ¿y Europa?
304645793,_1463905586408570890,MikePadilla9,2021-11-25T16:21:04.000Z,Que bonito trabajar con luz tenue y con la lluvia de fondo.
304645793,_1463915574501777411,MikePadilla9,2021-11-25T17:00:45.000Z,"Powder ha visto por primera vez la lluvia y se ha puesto como un loco, que ilusión."
304645793,_1463927955797823494,MikePadilla9,2021-11-25T17:49:57.000Z,Al menos mañana es Viernes ya.
